Index,True Label,Predicted Label
0,1,1
3,0,1
6,0,1
9,0,0
24,1,1
30,1,1
37,0,1
43,0,0
48,1,1
51,1,1
52,1,1
59,1,1
64,1,1
67,1,1
70,0,0
76,1,1
88,1,1
92,0,0
100,0,0
111,1,1
117,1,1
120,0,0
131,0,0
136,0,0
139,1,1
142,1,1
153,1,1
158,1,1
170,0,0
171,0,0
172,1,1
176,1,1
179,1,1
211,1,1
215,1,1
222,0,0
223,1,1
225,1,1
226,1,1
228,1,1
231,0,1
249,1,1
253,0,0
254,1,1
259,1,1
269,0,0
278,1,1
283,0,0
284,1,1
286,0,0
294,0,0
295,1,1
310,1,1
311,0,0
325,1,1
330,0,1
331,1,1
332,0,0
334,0,0
342,1,1
362,0,0
366,0,0
374,1,1
379,0,0
384,0,0
394,0,1
395,1,1
408,0,0
437,1,1
447,1,1
450,0,0
456,0,0
472,1,1
473,0,0
499,1,1
506,1,1
509,1,1
534,0,1
536,0,0
556,1,1
564,1,1
577,1,1
587,1,1
594,0,1
605,1,1
617,0,0
621,0,0
625,0,0
637,0,0
639,1,1
648,1,1
664,0,1
665,1,1
672,1,1
677,1,1
691,1,1
716,0,0
724,1,1
725,1,1
727,1,1
731,0,0
738,0,1
741,1,1
743,1,1
745,0,0
749,0,0
750,1,1
760,0,0
783,0,0
789,0,0
794,0,0
803,0,1
805,1,1
812,0,0
818,1,1
819,1,1
828,0,0
831,0,0
832,0,0
834,0,0
868,0,0
878,1,1
889,1,1
891,1,1
892,1,1
896,0,0
897,0,0
901,1,1
911,0,0
920,1,1
921,1,1
923,1,1
925,0,0
937,0,0
941,1,1
942,1,1
943,1,1
948,1,1
952,1,1
953,0,1
969,0,0
972,0,0
981,1,1
984,1,1
991,1,1
1003,0,0
1017,0,1
1018,0,0
1021,0,0
1025,1,1
1028,1,1
1033,1,1
1043,0,1
1047,1,1
1052,0,0
1058,0,0
1065,1,1
1066,1,1
1076,0,0
1079,0,1
1109,0,0
1110,0,0
1111,0,0
1115,0,1
1128,1,1
1133,0,0
1134,0,0
1138,0,0
1143,0,1
1147,0,0
1149,0,0
1155,1,1
1156,1,1
1159,1,1
1172,1,1
1173,0,1
1174,1,1
1175,0,1
1181,1,1
1184,0,0
1185,0,0
1186,0,0
1188,0,0
1190,0,0
1194,0,0
1197,0,0
1198,0,0
1209,1,1
1210,0,0
1213,1,1
1214,0,0
1216,0,0
1230,0,0
1236,0,0
1237,0,1
1242,1,1
1244,0,1
1248,1,1
1249,0,1
1250,1,1
1255,1,1
1261,1,1
1263,0,0
1268,0,0
1270,1,1
1273,0,0
1283,1,1
1284,0,1
1294,1,1
1296,1,1
1325,1,1
1333,0,0
1336,1,1
1339,0,0
1340,0,0
1361,0,0
1363,0,1
1371,1,1
1373,1,1
1376,1,1
1379,0,0
1381,1,1
1408,0,0
1416,1,1
1423,1,1
1428,0,0
1439,0,0
1440,1,1
1445,1,1
1446,0,0
1457,1,1
1464,1,1
1470,0,0
1476,0,0
1483,1,1
1484,0,0
1497,0,1
1505,1,1
1515,0,0
1518,1,1
1529,0,1
1534,1,1
1539,0,0
1548,1,1
1563,0,0
1569,0,0
1579,0,0
1580,1,1
1587,0,0
1599,1,1
1602,0,0
1606,0,0
1610,1,1
1619,0,1
1621,0,0
1634,1,1
1639,0,0
1642,1,1
1648,0,1
1649,0,0
1650,1,1
1670,1,1
1673,0,0
1676,0,1
1694,0,1
1698,1,1
1700,0,0
1704,1,1
1714,1,1
1717,1,1
1729,0,0
1736,0,0
1744,0,0
1745,0,0
1753,0,1
1760,1,1
1771,1,1
1772,1,1
1773,0,1
1785,0,0
1792,1,1
1794,1,1
1799,0,1
1810,0,0
1816,1,1
1824,1,1
1832,0,0
1833,0,0
1840,1,1
1841,1,1
1844,1,1
1854,1,1
1864,1,1
1867,1,1
1868,1,1
1873,1,1
1874,1,1
1875,1,1
1880,1,1
1883,1,1
1909,1,1
1912,0,0
1944,0,0
1956,0,0
1958,0,0
1975,1,1
1979,0,0
1981,0,0
2021,1,1
2024,1,1
2030,0,0
2037,1,1
2038,0,0
2039,1,1
2042,1,1
2046,0,1
2049,1,1
2062,0,0
2070,0,0
2078,1,1
